Lat,Long,City,Country,Temperature,Humidity,Cloudiness,Wind,groups
78.22,15.64,longyearbyen,sj,33.8,86,90,12.75,3
64.38,-173.3,provideniya,ru,43.12,89,83,7.23,4
-2.92,-39.92,itarema,br,88.02,50,0,19.82,1
41.37,-73.41,bethel,us,67.69,72,1,9.17,3
-20.23,164.02,poum,nc,72.0,77,19,12.82,5
-18.53,25.63,pandamatenga,bw,84.61,21,88,6.78,3
-21.21,-159.78,avarua,ck,69.8,68,78,4.7,5
5.66,-67.62,puerto ayacucho,ve,84.2,66,20,6.93,5
51.93,108.07,onokhoy,ru,42.8,93,0,4.47,5
27.98,-114.06,guerrero negro,mx,84.11,41,28,1.57,1
17.65,83.27,yarada,in,84.2,83,75,2.24,1
-9.8,-139.03,atuona,pf,77.52,77,40,22.37,2
-29.47,149.85,moree,au,62.6,55,75,18.34,3
54.52,-128.6,terrace,ca,53.6,87,20,19.46,2
1.17,108.97,pemangkat,id,79.32,82,60,9.55,1
-6.12,141.29,kiunga,pg,74.46,98,100,0.67,5
-45.87,-67.5,comodoro rivadavia,ar,59.0,22,40,34.45,5
5.52,5.75,warri,ng,81.68,75,42,9.62,3
-8.9,-35.15,sao jose da coroa grande,br,79.3,64,9,11.65,1
29.23,56.61,baft,ir,66.49,23,0,16.67,5
-13.88,167.55,sola,vu,82.4,78,75,11.41,2
-19.55,169.27,isangel,vu,68.0,88,40,9.19,5
42.4,46.17,aknada,ru,50.88,77,15,5.26,5
38.06,-97.93,hutchinson,us,65.05,72,1,8.05,4
48.38,-4.62,plouzane,fr,76.44,61,19,17.22,3
-33.65,115.33,busselton,au,46.9,54,23,13.13,3
28.25,77.07,sohna,in,93.09,56,20,4.7,4
-23.12,-134.97,rikitea,pf,72.12,81,93,23.44,3
-33.59,26.89,port alfred,za,61.5,68,0,6.91,3
64.86,-147.8,college,us,48.49,66,75,11.41,5
61.14,45.91,udimskiy,ru,41.81,93,100,11.21,2
51.62,15.31,zagan,pl,63.48,47,1,5.01,4
66.4,14.52,storforshei,no,45.37,93,75,3.98,5
-32.03,-52.1,rio grande,br,64.13,73,2,4.63,1
37.35,-108.59,cortez,us,62.6,41,1,13.49,3
-26.65,15.16,luderitz,na,64.44,56,13,16.58,4
-22.12,14.28,henties bay,na,59.0,83,0,7.0,1
60.6,15.63,falun,se,52.27,57,100,6.93,5
64.28,100.25,tura,ru,45.25,81,22,4.83,2
42.54,129.0,helong,cn,49.15,78,0,4.99,3
-33.92,25.57,port elizabeth,za,62.6,63,0,10.29,4
60.92,-46.05,narsaq,gl,44.6,70,75,1.12,2
55.74,-97.86,thompson,ca,35.6,64,20,8.05,4
-33.01,17.94,saldanha,za,68.0,56,3,8.05,5
65.85,44.24,mezen,ru,39.49,85,79,5.23,1
18.7,76.93,ahmadpur,in,79.02,83,42,2.04,2
62.23,-6.59,klaksvik,fo,53.6,100,90,6.93,1
42.33,-87.84,north chicago,us,63.48,55,75,10.29,1
61.99,-49.67,paamiut,gl,39.31,77,97,14.45,4
-21.37,55.62,saint-joseph,re,66.18,68,90,3.36,2
42.78,-9.06,muros,es,74.52,73,42,11.99,4
13.89,120.05,cabra,ph,81.95,84,100,25.23,2
20.2,1.01,tessalit,ml,101.57,18,41,8.48,4
-0.9,-89.62,san cristobal,ec,66.4,84,100,10.69,5
-43.25,-65.31,trelew,ar,63.23,28,0,48.5,4
69.22,-51.1,ilulissat,gl,37.4,74,75,11.41,3
-27.61,-48.5,florianopolis,br,69.91,94,75,4.7,1
24.69,46.72,riyadh,sa,100.4,12,0,5.82,5
-8.75,-67.4,boca do acre,br,109.0,19,3,1.66,4
9.49,50.81,bandarbeyla,so,76.93,82,5,34.81,5
-51.62,-69.22,rio gallegos,ar,46.4,49,40,40.26,3
51.96,66.4,esil,kz,50.16,83,76,14.29,2
36.62,-121.92,pacific grove,us,59.31,78,40,3.36,2
9.91,-67.35,san juan de los morros,ve,84.85,63,2,2.93,5
-42.78,147.06,new norfolk,au,35.6,68,0,2.75,2
69.7,170.31,pevek,ru,34.21,95,93,11.07,2
56.09,56.58,askino,ru,45.88,77,91,4.7,3
-42.47,-73.77,castro,cl,54.0,65,93,5.01,4
22.93,57.53,nizwa,om,90.54,11,0,9.31,5
20.93,-17.03,nouadhibou,mr,78.6,70,16,20.65,4
60.82,-115.8,hay river,ca,37.4,93,75,6.93,1
73.51,80.55,dikson,ru,46.56,86,96,11.61,3
20.7,-105.2,ixtapa,mx,81.3,88,75,4.7,3
27.75,-107.63,creel,mx,60.03,68,0,17.58,1
-38.0,-57.56,mar del plata,ar,68.0,42,35,23.04,5
66.0,111.5,aykhal,ru,51.8,62,57,2.24,2
33.6,56.92,tabas,ir,87.8,16,0,9.17,4
-6.88,112.21,labuhan,id,80.29,75,45,8.43,1
27.18,31.18,asyut,eg,96.8,34,0,9.17,3
9.36,14.9,pala,td,76.41,89,96,2.53,1
21.46,-71.14,cockburn town,tc,83.57,78,77,13.6,5
42.17,-71.25,norfolk,us,72.25,56,1,12.75,5
-7.93,-14.42,georgetown,sh,80.6,54,20,18.34,2
18.09,-15.98,nouakchott,mr,89.6,66,40,20.8,1
51.57,46.03,saratov,ru,62.01,38,100,1.99,4
64.75,177.48,anadyr,ru,39.09,100,40,6.71,2
30.38,-87.28,warrington,us,78.75,100,90,6.93,2
9.17,35.83,gimbi,et,60.04,100,68,3.69,5
46.94,35.77,rozivka,ua,68.0,28,11,4.72,2
-20.78,117.13,roebourne,au,73.54,53,0,7.18,3
-9.45,-46.3,morros,br,100.08,19,1,6.29,4
-53.15,-70.92,punta arenas,cl,41.0,73,40,38.03,1
34.23,-77.94,wilmington,us,78.3,94,90,4.7,2
6.8,-58.16,georgetown,gy,87.46,74,40,4.7,4
32.29,-64.78,hamilton,bm,82.49,78,20,8.05,1
-54.8,-68.3,ushuaia,ar,35.6,64,75,38.03,5
61.47,128.92,mokhsogollokh,ru,43.63,70,55,2.1,5
5.38,-52.95,sinnamary,gf,83.89,79,83,12.68,3
69.3,139.9,deputatskiy,ru,39.69,85,100,9.44,3
47.05,25.52,bilbor,ro,80.01,43,47,4.0,1
13.17,80.27,manali,in,84.2,79,75,4.7,4
42.97,140.51,iwanai,jp,66.63,91,100,5.86,3
56.49,66.92,novaya zaimka,ru,49.41,94,100,10.56,3
-45.87,170.5,dunedin,nz,40.37,69,0,8.99,2
42.12,118.78,mujiayingzi,cn,50.67,55,0,9.04,3
-20.75,-42.88,vicosa,br,83.48,38,12,5.84,4
37.7,-5.28,palma del rio,es,86.25,40,20,19.46,3
-10.45,161.92,kirakira,sb,79.59,84,89,14.72,5
-35.33,-72.42,constitucion,cl,61.88,63,0,15.46,2
60.75,-137.51,haines junction,ca,41.54,65,95,2.33,2
18.69,12.92,bilma,ne,104.05,12,85,3.58,3
23.2,77.08,sehore,in,84.2,79,75,1.36,1
26.12,127.67,itoman,jp,82.27,88,20,9.17,4
51.4,128.13,svobodnyy,ru,53.19,96,100,12.15,1
61.47,-6.81,vagur,fo,53.17,97,100,28.07,5
-23.45,-56.58,tacuati,py,70.3,81,100,2.77,2
-15.94,-5.72,jamestown,sh,60.82,85,56,20.11,5
66.15,-65.71,pangnirtung,ca,39.2,55,90,5.82,1
48.93,-125.55,ucluelet,ca,60.91,100,90,2.55,1
17.49,44.13,najran,sa,91.4,14,9,6.93,3
0.52,25.2,kisangani,cd,93.2,49,20,3.36,3
-21.64,-41.05,sao joao da barra,br,87.8,40,0,11.41,3
42.67,-6.0,leon,es,71.06,53,40,6.93,4
66.04,-17.34,husavik,is,51.8,66,75,16.11,1
48.59,57.19,shubarshi,kz,53.74,65,81,10.8,2
1.0,-52.0,amapa,br,94.06,40,10,5.32,3
28.45,117.97,shangrao,cn,70.09,92,92,3.31,5
-46.13,167.68,tuatapere,nz,39.99,86,40,8.99,5
-28.48,-48.78,laguna,br,69.57,78,100,9.78,3
56.41,-5.47,oban,gb,61.32,77,0,8.05,5
-23.58,148.88,blackwater,au,62.46,93,11,10.78,1
-34.73,135.87,port lincoln,au,58.64,87,100,20.58,1
28.15,-15.65,galdar,es,79.32,74,99,24.16,5
36.8,4.27,timizart,dz,85.26,32,14,7.67,2
36.62,-119.31,orange cove,us,67.71,82,1,6.93,4
46.54,138.33,svetlaya,ru,57.13,89,6,2.35,5
32.83,66.0,uruzgan,af,57.83,31,0,1.92,2
22.89,-109.91,cabo san lucas,mx,83.39,69,20,3.56,1
24.7,-77.77,andros town,bs,87.8,62,40,11.41,2
-4.28,-55.98,itaituba,br,93.2,56,40,4.07,4
-9.43,159.95,honiara,sb,75.2,94,90,9.17,4
65.58,-171.0,lavrentiya,ru,40.1,90,16,7.14,3
27.74,66.64,khuzdar,pk,82.09,15,1,8.12,1
-34.42,19.23,hermanus,za,62.01,64,2,1.01,5
46.1,-77.5,deep river,ca,49.14,61,75,10.29,1
-38.33,141.6,portland,au,50.09,78,100,13.78,5
-5.37,25.75,lubao,cd,87.13,45,89,3.83,1
51.26,-80.61,moose factory,ca,44.6,48,1,18.34,2
42.14,-77.05,corning,us,60.58,77,90,2.55,1
17.89,-77.59,bull savanna,jm,84.52,66,14,11.32,3
63.73,8.83,sistranda,no,51.8,62,75,8.05,1
65.82,87.98,turukhansk,ru,50.88,90,94,10.4,4
69.45,-133.04,tuktoyaktuk,ca,37.4,93,20,6.93,2
-20.01,57.66,grand gaube,mu,72.0,69,40,7.0,1
-17.71,-39.25,caravelas,br,81.3,47,0,9.1,3
4.12,15.14,gamboula,cf,74.03,95,100,2.42,3
18.47,120.58,davila,ph,80.6,94,40,2.24,4
50.2,-66.38,sept-iles,ca,48.78,50,20,14.99,4
33.07,107.03,hanzhong,cn,62.38,72,0,0.54,2
-3.8,102.27,bengkulu,id,76.24,87,7,4.59,3
-32.5,137.77,port augusta,au,66.99,45,98,8.01,1
24.48,118.08,xiamen,cn,83.44,73,13,5.39,3
10.26,-85.59,santa cruz,cr,82.4,88,75,1.12,2
6.3,-10.8,monrovia,lr,86.0,70,75,11.41,5
-3.74,-38.65,caucaia,br,83.75,52,20,18.34,1
-8.14,159.59,buala,sb,79.21,85,100,12.33,2
18.46,-77.39,discovery bay,jm,87.58,70,20,12.75,1
7.53,-12.51,bonthe,sl,81.79,78,93,9.62,1
-8.47,118.72,bima,id,74.57,76,65,2.21,4
60.47,166.1,tilichiki,ru,38.08,89,41,5.93,5
53.05,158.65,petropavlovsk-kamchatskiy,ru,44.6,100,100,2.24,4
14.46,-4.92,tenenkou,ml,92.37,45,71,15.17,5
60.72,-46.03,qaqortoq,gl,44.6,71,75,1.12,1
28.4,-97.75,beeville,us,83.5,79,1,8.05,5
-13.7,-76.22,pisco,pe,60.89,87,90,6.93,5
40.6,-124.16,fortuna,us,64.22,100,90,4.7,4
-7.38,108.21,kawalu,id,71.28,87,85,0.92,3
19.3,97.97,mae hong son,th,76.82,85,100,1.3,3
40.6,-77.57,lewistown,us,65.64,88,1,0.87,5
-10.62,150.67,samarai,pg,78.69,87,100,16.22,1
35.13,140.3,katsuura,jp,80.06,88,75,11.41,5
-12.97,-38.51,salvador,br,80.6,57,20,8.05,3
43.33,5.5,marseille,fr,85.87,42,49,16.11,2
-10.75,-77.77,barranca,pe,65.7,67,75,7.45,3
-20.02,57.58,grand baie,mu,72.0,68,33,5.01,3
61.05,25.43,hollola,fi,43.0,99,100,8.99,1
3.07,172.79,butaritari,ki,82.02,79,8,16.15,4
18.9,-3.53,araouane,ml,105.57,15,26,8.84,1
-14.17,-66.88,santa rosa,bo,89.6,62,21,4.52,4
4.14,96.13,meulaboh,id,78.39,84,100,3.51,2
56.21,15.28,ronneby,se,59.0,51,29,9.17,3
-32.72,152.15,nelson bay,au,63.64,88,90,16.11,5
8.95,-77.77,mulatupo,pa,85.86,63,33,2.44,3
-4.88,-66.9,carauari,br,100.53,34,9,2.24,4
-2.08,101.38,sungaipenuh,id,64.96,95,40,1.12,4
40.28,97.2,yumen,cn,58.21,29,0,9.04,1
-20.67,-40.5,guarapari,br,82.33,57,0,16.8,1
18.74,7.39,arlit,ne,87.35,40,95,3.38,1
42.06,59.38,akdepe,tm,63.52,31,0,4.7,1
43.25,76.95,almaty,kz,62.6,36,90,6.71,3
-42.72,170.97,hokitika,nz,47.7,74,100,15.3,2
-37.62,-73.65,lebu,cl,53.6,80,85,10.42,3
24.32,-107.36,eldorado,mx,84.58,83,20,5.82,1
43.37,-124.22,coos bay,us,61.83,100,90,3.36,5
66.53,66.6,salekhard,ru,49.26,72,100,11.39,2
61.67,96.37,baykit,ru,52.48,79,100,4.88,3
60.14,-45.24,nanortalik,gl,41.0,69,79,2.24,2
31.76,25.09,bardiyah,ly,81.7,65,0,8.05,5
-28.65,153.62,byron bay,au,56.75,100,9,3.56,1
5.14,-5.02,grand-lahou,ci,77.2,81,96,11.81,2
13.17,44.58,lahij,ye,90.86,50,39,3.58,4
-10.07,-78.15,huarmey,pe,66.04,67,63,8.01,4
5.77,-56.68,wageningen,sr,78.28,90,99,3.47,4
28.37,129.48,naze,jp,79.07,92,97,11.3,2
-33.93,18.42,cape town,za,64.72,55,2,5.82,3
-20.02,148.23,bowen,au,69.8,88,90,6.93,5
50.63,-96.99,gimli,ca,45.99,99,99,4.32,5
10.35,107.08,vung tau,vn,80.47,85,100,17.02,5
32.78,117.96,mingguang,cn,63.75,92,100,5.17,4
14.08,98.2,dawei,mm,78.24,88,91,1.74,3
-22.67,167.48,vao,nc,70.52,85,0,14.03,4
37.77,-25.7,arrifes,pt,73.4,46,20,11.41,5
70.47,-68.59,clyde river,ca,37.4,74,75,6.93,2
50.68,156.12,severo-kurilsk,ru,54.88,89,100,8.7,4
